COM6,ïóë¨,ï˚à ,òÎäp,ãCâ∑(éQçl),Vector-X,Vector-Y,Vector-Z,
éûçè,m/s.,Åã,Åã,Åé,,,,,,
2025/05/07 16:33:13,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:15,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:48,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:49,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:50,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:51,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:52,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:53,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:54,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:55,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:56,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:33:57,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:49,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:50,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:51,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:52,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:53,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:54,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:55,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:56,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:57,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:58,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:36:59,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:31,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:32,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:33,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:34,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:35,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:36,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:37,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:38,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:39,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:37:40,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:03,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:04,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:05,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:06,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:06,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:07,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:07,0.000,0,0,0.0,0.000,0.000,0.000,
2025/05/07 16:38:08,0.000,0,0,0.0,0.000,0.000,0.000,
